Id;Owned;OwnerPlayable;VisionRange;IncomeFactor;Chess;MovementOptions;Preview
Airport;;true;0;;;;Fill(owner), CornerBottomRight(#000)
Beach;Never;;;;;;Fill(#bdb871)
Bridge;Never;;;;;;Fill(#7f7f7f)
ChessPawnTile;Never;;;;true;;Fill(#756b6a), Dither(#cac8bd)
ChessTile;Never;;;;true;;Fill(#756b6a), Dither(#cac8bd)
City;;;0;1;;;Fill(owner), CornerBottomRight(#000)
ConstructionSite;;;0;;;;Fill(owner), CornerBottomRight(#000)
Factory;;true;0;;;;Fill(owner), CornerBottomRight(#000)
Flame;Never;;2;;;;Fill(#81c486), Circle(#fdd251)
Forest;Never;;;;;;Fill(#81c486), Circle(#476d2e)
Fountain;Never;;;;;Jump;Fill(#49619b), Center(#5383f6)
Grass;Never;;;;;;Fill(#81c486)
Hill;Never;;;;;;Fill(#81c486), Hill(#797524)
Hq;Always;;0;;;;Fill(owner), CornerBottomRight(#000)
Icebergs;Never;;;;;;Fill(#49619b), Dither(#e0f2f5)
Kraken;Never;;;;;;Fill(#5383f6), Dither(#49619b)
Lillypads;Never;;;;;;Fill(#5383f6), Dither(#6bc321)
Mountain;Never;;;;;;Fill(#81c486), Hill(#797524), HillLeft(#cece39)
OilPlatform;;;0;1;;;Fill(owner), CornerBottomRight(#000)
Reef;Never;;;;;;Fill(#49619b), Dither(#727959)
Ruins;Never;;;;;;Fill(owner), CornerBottomRight(#777)
Sea;Never;;;;;;Fill(#49619b)
ShallowSea;Never;;;;;;Fill(#5383f6)
Street;Never;;;;;;Fill(#7f7f7f)
StatueLand;Never;;;;;;Fill(#81c486), Center(#595652)
TentacleDepths;Never;;;;;;Fill(#5383f6), Center(#49619b)
Port;;true;0;;;;Fill(owner), CornerBottomRight(#000)
StatueSea;Never;;;;;;Fill(#5383f6), Center(#595652)
FairyForest;;;;;;;Fill(#81c486), Circle(#476d2e), Center(owner)
